产品编号（之前行里互金的）,产品名称,现在互金的产品编号,产品工厂编号,,,,,,,现在互金的产品编号,产品工厂编号
100001,金胡杨19号(非保本浮动收益型）,,,2018/12/13 9:30,1000000,2018/12/17 15:00,1,,6,,
100002,测试,,,2018/12/4 11:25,1000000,2018/12/4 18:10,1,,3,,
100003,测试,,,2018/12/6 15:55,001000,2018/12/6 18:30,1,,3,,
100004,测试,,,2018/12/10 10:00,001000,2018/12/12 0:00,1,,3,,
100005,月月盈,,,2019/1/21 0:00,100000000,2019/12/31 23:59,1,,2,,
100006,年利宝,,,2019/1/22 0:00,100000000,2019/12/31 23:59,1,,2,,
100007,月月增,,,2019/1/21 0:00,100000000,2019/12/31 23:59,1,,3,,
100008,金胡杨23号（非保本浮动收益型）,,,2019/2/12 9:30,2000000,2019/2/14 15:00,1,,2,,
100009,金胡杨24号（非保本浮动收益型）,,,2019/2/21 9:30,5000000,2019/2/24 15:00,1,,6,,
100010,金胡杨25号（非保本浮动收益型）,,,2019/3/7 9:30,2000000,2019/3/10 15:00,1,,6,,
100011,金胡杨26号（非保本浮动收益型）,,,2019/3/19 9:30,1000000,2019/3/21 15:00,1,,6,,
100012,定期五年,,,2019/3/21 9:30,99338900,2019/12/31 23:59,1,,2,,
100013,金胡杨27号（非保本浮动收益型）,,,2019/4/1 9:30,1000000,2019/4/3 15:00,1,,6,,
100014,金胡杨32号（非保本浮动收益型）,,,2019/5/20 9:30,1000000,2019/5/23 15:00,1,,6,,
100015,金胡杨34号（非保本浮动收益型）,,,2019/6/17 9:30,1000000,2019/6/19 15:00,1,,6,,
100016,金胡杨35号（非保本浮动收益型）,,,2019/7/12 9:30,9900000,2019/7/15 15:00,1,,2,,
100017,金胡杨38号（非保本浮动收益型）,,,2019/8/26 9:30,10000000,2019/8/28 15:00,1,,2,,
100018,金胡杨39号（非保本浮动收益型）,,,2019/9/3 9:30,20000000,2019/9/5 15:00,1,,2,,
100019,金胡杨43号（非保本浮动收益型）,,,2019/10/9 9:30,10000000,2019/10/13 18:00,1,,2,,
100020,金胡杨44号（非保本浮动收益型）,,,2019/10/11 9:30,10000000,2019/10/14 18:00,1,,2,,
100021,金胡杨47号（非保本浮动收益型）,,,2019/11/4 9:30,10000000,2019/11/7 18:00,1,,2,,
100022,金胡杨48号（非保本浮动收益型）,,,2019/11/7 9:30,10000000,2019/11/10 18:00,1,,2,,
100023,金胡杨49号（非保本浮动收益型）,,,2019/11/19 9:30,10000000,2019/11/21 18:00,1,,2,,
100024,金胡杨52号（非保本浮动收益型）,,,2019/12/10 9:30,10000000,2019/12/16 18:00,1,,2,,
100025,金胡杨53号（非保本浮动收益型）,,,2019/12/17 9:30,15000000,2019/12/23 18:00,1,,3,,
100026,金胡杨54号（非保本浮动收益型）,,,2019/12/19 9:30,15000000,2019/12/26 18:00,1,,3,,
100027,金胡杨55号（非保本浮动收益型）,,,2020/1/8 9:30,10000000,2020/1/13 18:00,1,,2,,
1001,天山稳存001号,,,2018/4/2 15:52,3000000,2018/4/30 23:59,1,,2,,
1002,天山稳存002号,,,2018/4/2 16:24,1500000,2018/4/30 23:59,1,,2,,
1003,天山稳存003号,,,2018/4/2 16:39,1500000,2018/4/30 23:59,1,,2,,
1004,如意存二号A款,,,2018/4/2 17:04,100000000,2018/5/2 17:41,1,,2,,
1005,如意存二号B款,,,2018/4/2 17:21,100000000,2018/5/2 17:44,1,,2,,
1006,如意存二号C款,,,2018/4/2 17:31,100000000,2018/5/2 17:44,1,,2,,
1007,如意存二号A号,,,2018/5/2 17:48,100000000,2018/5/31 23:59,1,,2,,
1008,如意存二号B款,,,2018/5/2 18:18,100000000,2018/5/31 23:59,1,,2,,
1009,如意存二号C款,,,2018/5/2 18:29,100000000,2018/5/31 23:59,1,,2,,
1010,定期存款五年,,,2018/6/25 12:11,100000000,2019/12/25 23:59,1,,3,,
1011,如意存二号A款,,,2018/7/1 0:00,50000000,2018/9/30 23:59,1,,3,,
1012,如意存二号B款,,,2018/7/1 0:00,50000000,2018/9/30 23:59,1,,3,,
1013,如意存二号C款,,,2018/7/1 0:00,50000000,2018/9/30 23:59,1,,3,,
1014,定期存款五年期,,,2018/7/2 12:22,100000000,2019/12/31 23:59,1,,3,,
1015,如意存二号A款（节假日）,,,2018/7/3 9:54,50000000,2018/9/30 23:59,1,,2,,
1016,如意存二号B款（节假日）,,,2018/7/3 10:04,50000000,2018/9/30 23:59,1,,2,,
1017,如意存二号C款（节假日）,,,2018/7/3 10:07,50000000,2018/9/30 23:59,1,,2,,
1018,如意存二号A款（九年庆）,,,2018/7/16 10:06,5000000,2018/7/31 23:59,1,,2,,
1019,如意存二号B款（九年庆）,,,2018/7/16 10:26,3000000,2018/7/31 23:59,1,,2,,
1020,如意存二号C款（九年庆）,,,2018/7/16 10:30,2000000,2018/7/31 23:59,1,,2,,
1021,如意存二号A款（节庆日）,,,2019/1/16 0:00,30000000,2019/7/10 23:59,1,,1,,
6000,智能存款,,,2017/8/1 0:00,1000000000,2099/12/31 0:00,1,,3,,
6001,日日升,,,2017/8/1 0:00,1000000000,2099/12/31 0:00,1,,3,,
6098,机构电子账户,,,\N,\N,\N,1,,2,,
6099,电子账户,,,\N,\N,\N,1,,2,,
900001,易缴费专用户,,,2019/3/5 0:00,9000000,2099/12/31 0:00,1,,4,,
